track_popularity,playlist_genre,playlist_subgenre,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,valence,tempo,duration_m,year,mouth,day,day_1_2_3,mouth_1_2_3_4
68,2,3,0.535,0.906,-4.699,0,0.0353,0.0202,0.000715,0.732,126.012,3,2019,7,26,3,4
72,2,3,0.784,0.721,-5.457,1,0.0506,0.0149,0.00424,0.895,121.966,3,2019,9,13,2,1
66,2,3,0.809,0.758,-5.658,0,0.101,0.409,0.000544,0.71,125.022,2,2019,11,15,2,1
59,2,3,0.669,0.793,-6.16,1,0.0403,0.0318,0.0372,0.159,121.995,4,2020,1,3,1,2
64,2,3,0.578,0.786,-4.665,1,0.13,0.232,0.000106,0.347,105.945,3,2019,4,5,1,3
9,2,3,0.733,0.839,-2.84,0,0.0335,0.0145,0.000187,0.471,126.009,4,2019,2,1,1,2
41,2,3,0.63,0.726,-3.753,1,0.0978,0.0717,0.0,0.499,122.055,3,2019,5,2,1,3
69,2,3,0.845,0.766,-5.727,0,0.0658,0.212,0.0,0.782,114.054,3,2019,9,27,3,1
66,2,3,0.679,0.866,-3.754,1,0.0566,0.0337,0.0,0.441,121.927,3,2019,7,5,1,4
68,2,3,0.657,0.882,-3.565,0,0.0456,0.247,0.00202,0.179,127.994,3,2019,1,4,1,2
66,2,3,0.493,0.773,-3.791,0,0.157,0.429,7.07e-06,0.301,123.149,3,2019,5,10,1,3
63,2,3,0.687,0.706,-5.357,1,0.0459,0.091,0.0,0.27,115.268,2,2019,5,10,1,3
68,2,3,0.654,0.874,-3.885,1,0.0543,0.169,1.77e-06,0.542,119.85,3,2019,4,26,3,3
23,2,3,0.661,0.758,-5.299,1,0.0864,0.0797,0.0,0.387,114.098,4,2019,9,6,1,1
67,2,3,0.447,0.684,-4.721,0,0.09,0.175,0.0,0.437,125.655,3,2019,5,30,3,3
62,2,3,0.731,0.802,-4.763,1,0.0623,0.022,0.0,0.434,121.991,3,2019,5,10,1,3
9,2,3,0.489,0.766,-5.84,1,0.0851,0.0511,1.35e-05,0.117,121.445,3,2019,4,12,2,3
59,2,3,0.6,0.888,-4.612,1,0.13,0.00166,0.0,0.641,126.056,3,2019,2,15,2,2
71,2,3,0.687,0.707,-6.19,1,0.0328,0.0536,9.29e-05,0.607,127.033,3,2019,7,18,2,4
21,2,3,0.711,0.724,-4.809,1,0.106,0.0835,0.0,0.478,104.048,3,2018,11,9,1,1
81,2,3,0.693,0.575,-6.998,1,0.0801,0.374,0.0,0.492,117.999,4,2018,10,26,3,1
69,2,3,0.683,0.785,-4.879,1,0.037,0.0643,1.34e-05,0.581,122.997,3,2019,8,16,2,4
